step	loss
0	0.6962242722511292
1	0.6312959790229797
2	0.6188225150108337
3	0.6100439429283142
4	0.5929752588272095
5	0.5718585848808289
6	0.5673596262931824
7	0.5627363324165344
8	0.5749155282974243
9	0.5422486662864685
